block,lot,date,longitude,latitude
1996,56,"""1983-06-07T00:00:00.000Z""",-73.85606027317891,40.750952615105724
1996,56,"""2012-07-26T00:00:00.000Z""",-73.85606027317891,40.750952615105724
1996,56,"""2012-03-14T00:00:00.000Z""",-73.85606027317891,40.750952615105724
1996,56,"""2012-02-08T00:00:00.000Z""",-73.85606027317891,40.750952615105724
1996,56,"""1983-06-07T00:00:00.000Z""",-73.85606027317891,40.750952615105724
1893,3,"""1982-11-05T00:00:00.000Z""",-73.96859394285094,40.80384994311781
1893,3,"""1982-11-05T00:00:00.000Z""",-73.96859394285094,40.80384994311781
1997,49,"""2012-03-14T00:00:00.000Z""",-73.85638602615734,40.75008638801441
1997,49,"""2012-02-08T00:00:00.000Z""",-73.85638602615734,40.75008638801441
1995,31,"""2002-09-24T00:00:00.000Z""",-73.95668088195971,40.682750388786026
1995,31,"""2002-09-24T00:00:00.000Z""",-73.95668088195971,40.682750388786026
1995,31,"""2012-03-14T00:00:00.000Z""",-73.95668088195971,40.682750388786026
1995,31,"""2012-02-08T00:00:00.000Z""",-73.95668088195971,40.682750388786026
1995,31,"""2002-09-24T00:00:00.000Z""",-73.95668088195971,40.682750388786026
1995,31,"""2002-09-24T00:00:00.000Z""",-73.95668088195971,40.682750388786026
3148,23,"""1972-11-01T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1972-11-01T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1972-11-01T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1973-02-20T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1973-02-15T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1973-02-20T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1973-02-15T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1972-11-01T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1972-11-01T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1972-11-01T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1973-02-20T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1973-02-15T00:00:00.000Z""",-73.89508452709664,40.86183167431024
3148,23,"""1972-11-01T00:00:00.000Z""",-73.89508452709664,40.86183167431024
1305,60,"""1993-06-30T00:00:00.000Z""",-73.97240405749031,40.757077744554664
1982,1,"""2008-01-31T00:00:00.000Z""",-73.96143881724684,40.68294923337842
